,Utterance,Label
4958,So… should I wear a wig?,humor
4959,Why are you joking?,non-humor
4960,No no no joke. The thing is right,non-humor
4961,do one thing.,non-humor
4962,I will wear a wig and stand there. Right.,non-humor
4963,You take a log shot.,non-humor
4964,I'll hang around in the same place right,humor
4965,"And then it's made,  and take the close with the original tomorrow",humor
4966,Your entire day of shooting today will get saved.,non-humor
4967,What do you say?,non-humor
4968,What do you say?,non-humor
4969,Oof! Do some good and put in the river. I am going.,humor
4970,"But Prema ji should have come, right?",humor
4971,Be happy be happy be happy brother…,humor
4972,"Be happy. But Prema ji should have come, right?",humor
4973,Oh!,humor
4974,OK OK…,humor
4975,"Sorry, brother. Five minutes became ten minutes, ten minutes became fifteen and fifteen became ten, I got late.",humor
4976,"No problem, drop me off at home directly.",non-humor
4977,Drop me right where you left me.,non-humor
4978,Dilruba ji…,non-humor
4979,Yeah…,non-humor
4980,Who are you! Who are you!,non-humor
4981,"Do you not recognize him, this is our boss Black Crow",humor
4982,And I chirkut,non-humor
4983,"The thing is that when I was a little child right, then a village",humor
4984,Chirkut!,non-humor
4985,Will you let me say something,humor
4986,Say,non-humor
4987,Come quietly with us,humor
4988,"Do not be a frog, Black Crow",humor
4989,You guys are kidnapping me,non-humor
4990,No no we are going to a wedding to eat food,humor
4991,Chirkut!,non-humor
4992,We are kidnapping you,non-humor
4993,Help me help me,humor
4994,How will we complete the shoot?,non-humor
4995,Sir sir sir….,non-humor
4996,"That that fat man who came to you, right sir",non-humor
4997,To villains picked him up and took him,non-humor
4998,What!,non-humor
4999,"Yes sir, and they also took my taxi and took off my clothes and left me naked. Sir.",humor
5000,My movie!,non-humor
5001,Sir!,non-humor
5002,"I mean, Black Crow has kidnapped Dilruba.",non-humor
5003,"Good news, good news…",humor
5004,"Brother walk straight, won't you",non-humor
5005,Do you have a problem.,humor
5006,"Hey brother salute him, man.",non-humor
5007,You have no respect at all for the boss,non-humor
5008,"I'll give, I'll give, I'll give him respect too.",non-humor
5009,First gime me his salary and then he'll get his respect.,humor
5010,Let us go,non-humor
5011,"The inside is like this, isn't it?",humor
5012,"Hey, go to hell",humor
5013,"Salute him… hey, salute him… yes",humor
5014,Follow me,humor
5015,Sit here,non-humor
5016,"Idiot, sit",non-humor
5017,Turn on the fan,non-humor
5018,"Come on Chirkut, go and get the ropes.",humor
5019,Lassi?,humor
5020,Chirkut!,humor
5021,Get the rope! Rope,non-humor
5022,Oh but what is the need for ropes,non-humor
5023,To bind you,non-humor
5024,"What is the need to bind me, where am I going to run",humor
5025,Yeah do you not see Hindi movies?,non-humor
5026,Do you not see Hindi movies?,non-humor
5027,"Why are you talking about movies, sir.",non-humor
5028,How many years have passed since I've seen a serial.,humor
5029,"There is no TV here, actually.",non-humor
5030,"Yes, in my childhood, I used to watch a serial.",non-humor
5031,What was its name…,non-humor
5032,"""Because the bungalow was also once a hut"".",humor
5033,Whose heroine was Sucheta Chopra.,humor
5034,Yes… Sucheta Chopra!,non-humor
5035,What is she doing these days?,non-humor
5036,Oh she got married.,non-humor
5037,Oh god Sucheta…,humor
5038,Hey shut up! Stop talking! Shut your mouth!,non-humor
5039,"Boss, I had become a little emotional.",humor
5040,Hey what is the need to shut our mouths?,humor
5041,Now it time for me to eat and drink.,humor
5042,What do you mean?,non-humor
5043,I mean…,non-humor
5044,"You guys are my sponsors, aren't you, sponsors?",humor
5045,What does sponsor mean?,non-humor
5046,What does sponsor mean?,non-humor
5047,"You guys kidnapped me, right? Yes?",humor
5048,Yes.,humor
5049,"You guys brought me here, right?",humor
5050,Yes.,humor
5051,"So it is your responsibility to make me eat me drink, right? Yes?",humor
5052,Yes.,humor
5053,Yes.,humor
5054,Yes.,humor
5055,"So tell us, what will you eat?",non-humor
5056,"Hey anything, a little light.",non-humor
5057,"Chirkut, go get two light bulbs.",humor
5058,"No my god not so light, not that light.",humor
5059,"A little light weight, you know.",humor
5060,"Oh, light, so go get some wafers.",humor
5061,Oh dear me. Not that light.,humor
5062,A little heavy.,humor
5063,Chirkut go get two sandwiches and two samosas for him. Go!,humor
5064,Okay okay…,non-humor
5065,"The boss's command, the bullet of the gun, open your bag!",humor
5066,Give me money.,humor
5067,Here take it,humor
5068,What happened… sorry… you take this,humor
5069,Thank you!,humor
5070,"Listen listen tell them not to put mushrooms in the sandwiches, okay",humor
5071,Hi.,non-humor
5072,Is this Prema Shalini speaking?,non-humor
5073,You do not recognize my voice?,humor
5074,Hello.,humor
5075,"Hello, who are you?",non-humor
5076,"I am a very big rogue, speaking.",humor
5077,Black Crow!,humor
5078,"Yes, Black Crow",humor
5079,"Oh, Black Crow…",non-humor
5080,Yes.,non-humor
5081,"Mr. Black Crow, tell me how you are talking?",non-humor
5082,You should be caw caw cawing.,humor
5083,"Look, do not make jokes.",non-humor
5084,Your husband is in our possession.,humor
5085,Good!,humor
5086,We have kidnapped him and kept him!,non-humor
5087,Very good!,humor
5088,"Because otherwise, I was about to tell a friend of mine to kidnap him, to kidnap him.",non-humor
5089,"You do not believe me? One minute, talk to him!",non-humor
5090,Chirkut! Get him and come!,non-humor
5091,Yes boss!,non-humor
5092,You can eat.,humor
5093,"Hey, bring Dilruba and come!",humor
5094,"Oh, tell me like this won't you, man!",humor
5095,"Look look don't cut the phone, keep it on hold.",humor
5096,"Yes, one minute, he is coming, he's coming.",humor
5097,"Hey, come on get up! He's eating comfortably.",humor
5098,Here my life is burning!,non-humor
5099,Come quickly! -,humor
5100,Here! Talk!,non-humor
5101,Whose phone is it?,non-humor
5102,Your wife.,humor
5103,"Hello, Doll!",non-humor
5104,"Hi, Dil! How are you?",non-humor
5105,I'm having a lot of fun Doll!,humor
5106,Did you hear?,non-humor
5107,Yes.,humor
5108,If you want to see your husband alive.,non-humor
5109,Then bring us fifty lakh rupees till tomorrow evening!,humor
5110,oh! Fifty million!,humor
5111,"Hey what are you doing, man?",non-humor
5112,One minute… what?,non-humor
5113,My worth is just fifty lakh rupees?,humor
5114,Ask for more.,non-humor
5115,More?,humor
5116,Bring us seventy five lakh rupees!,humor
5117,Seventy five lakh rupees!,humor
5118,Oh deat!,humor
5119,one minute.,non-humor
5120,What?,non-humor
5121,"At least, make a round figure, won't you!",non-humor
5122,Round round…,non-humor
5123,one crore.,non-humor
5124,Bring us one crore rupees! Otherwise,non-humor
5125,We will kill your husband! Destroy him completely,humor
5126,"One minute, one minute, Mr. Black Crow, do one thing. You shoot him with a gun.",humor
5127,Because you will not get such a big knife,non-humor
5128,That you can insert into his fat stomach.,humor
5129,"Hello.. Hey, man, is this your wife or what?",humor
5130,She does not care about you at all?,non-humor
5131,"No. She cares a lot about me, she loves me!",humor
5132,Then why did she cut the phone?,non-humor
5133,Because she does not have the money.,humor
5134,So why do you increase the amount?,non-humor
5135,"Oh, because if I do not raise my own amount",humor
5136,Then who else will increase it? Yes!,humor
5137,"Understand, it happens just like this in the industry. Oh man, anything!",humor
5138,He is your boss.,humor
5139,"Hey, hello.. Get up… this food is for me!",humor
5140,I am troubled here and you are playing carrom.,non-humor
5141,"Oh dear, why are your troubled?",non-humor
5142,Your wife.,non-humor
5143,Because of Doll? What is the trouble?,non-humor
5144,I do not think your wife will come with one crore rupees.,non-humor
5145,Why?,non-humor
5146,"You only said that I am living comfortably, Doll.",humor
5147,Yes so what happened? I am having fun here.,non-humor
5148,When did I lie?,humor
5149,You're having fun? He's having fun.,non-humor
5150,Is this a water park? You're having fun.,humor
5151,"Look, we are hitting you and troubling you",non-humor
5152,"And troubling you, say it like this.",non-humor
5153,Then the money will come.,non-humor
5154,Yes.,non-humor
5155,"Oh dear, I have no troubles here.",humor
5156,"I feel very good, in fact.",humor
5157,I am very very happy.,humor
5158,"Look, I'll give you fifty lakhs from that one crore.",non-humor
5159,Fifty lakhs!,humor
5160,Do you want them? Do you want them? Do you want them?,humor
5161,Yes I want them I want them I want them! Give me the phone.,non-humor
5162,"What do I have to say, tell me quickly… why are you wasting time?",non-humor
5163,"Give me the phone quickly. My god, what are you doing.",non-humor
5164,"Dil, pick up the phone.",non-humor
5165,Dil.,non-humor
5166,Dil!,humor
5167,Dil?,non-humor
5168,Hello?,non-humor
5169,Doll!,humor
5170,Dolls These people are troubling me a lot. Doll,humor
5171,"Dil, the joke has gone on long enough. Now come back home.",non-humor
5172,I am not kidding.,non-humor
5173,These people are hitting me a lot.,humor
5174,Hello. Now do you believe it?,non-humor
5175,If you do not bring us one crore rupees by tomorrow night,non-humor
5176,Then we'll shoot your husband.,humor
5177,Look call me up and let me know where tomorrow's shoot is and at what time.,non-humor
5178,And please do not call at late night. Ok.,humor
5179,"Hey man, is this your wife or what?",humor
5180,What happened?,non-humor
5181,She is still not believing it.,humor
5182,She will believe it.,non-humor
5183,How?,non-humor
5184,When Keshu ki will tell her…,non-humor
5185,"Keshu, pick up the phone.",non-humor
5186,Hello?,non-humor
5187,"Hello, Koki ji.",non-humor
5188,Dilruba ji? Why are you calling so late at night?,non-humor
5189,Koki ji,humor
5190,I have been kidnapped. Koki ji,humor
5191,Right. What!,humor
5192,What!,non-humor
5193,"Why… why are you playing games with the phone at night, so late at night, Koki?",non-humor
5194,"Keshu, it is Dilruba ji's phone.",non-humor
5195,Somebody has kidnapped him.,humor
5196,I know that.,non-humor
5197,What?,non-humor
5198,I know that he is joking.,non-humor
5199,"No, Keshu. He is crying so much on the phone.",non-humor
5200,See.,non-humor
5201,Show. ,non-humor
5202,"I am telling the truth, Koki ji. I have been kidnapped.",non-humor
5203,"Dilruba ji, are you sure you're not joking?",non-humor
5204,"Yes, Koki ji. You go to Doll immediately and tell her",non-humor
5205,To arrange one crore by tomorrow evening.,humor
5206,One crore!,non-humor
5207,One crore!,humor
5208,Yes.,non-humor
5209,Give me the phone.,non-humor
5210,"Hey you rascal Dilruba, you're joking, go to sleep quietly.",non-humor
5211,Go to sleep.,non-humor
5212,What go to sleep.,non-humor
5213,Quietly?,non-humor
5214,Keshu from his words,humor
5215,I feel like he is actually kidnapped.,non-humor
5216,"Yeah… enough, go to sleep.",humor
5217,Huh?,non-humor
5218,Even Keshu ji is not convinced.,non-humor
5219,What disaster have we kidnapped and brought?,non-humor
5220,Nobody cares for him at all.,humor
5221,"And on top of that, he is going on eating, going on eating, going on eating.",humor
5222,Chirkut.,non-humor
5223,Yes.,non-humor
5224,Shall we send him back?,non-humor
5225,Yes Yes.,non-humor
5226,"No, please… please don't do that.",humor
5227,Let me stay here till tomorrow evening.,humor
5228,Don't let me go please.,humor
5229,Why?,non-humor
5230,"Because after many years, I am getting food without cooking it myself",humor
5231,"And by food, that reminds me, it is time for dessert.",non-humor
5232,"May I get some ice cream, please?",non-humor
5233,"We have cold cream, not ice cream.",non-humor
5234,"But that too only this much, will it do?",humor
5235,"Hey man where is the problem, in your hand",non-humor
5236,Or in your shoulder,humor
5237,I do not know.,non-humor
5238,Oh dear…,non-humor
5239,I am coming brother. I am coming.,non-humor
5240,This Dil is missing since the morning!,non-humor
5241,And now it is so late at night…,non-humor
5242,Prema ji Prema ji,non-humor
5243,He has disappeared…,humor
5244,"Toto, what happened?",non-humor
5245,He has disappeared.,humor
5246,Yeah but what happened?,non-humor
5247,"He, there's a villain by the name of Black Crow, right, he has kidnapped Dilruba ji.",humor
5248,I know Dil has made you a fool too.,non-humor
5249,Oh no no he has not fooled me.,non-humor
5250,They have kidnapped and taken him from my very own set.,non-humor
5251,What!,humor
5252,Dil is actually kidnapped.,non-humor
5253,"And you are telling me now, so late at night?",non-humor
5254,"That police left me now, so I'm telling you now.",humor
5255,Police left you now? But why did the police have you? The thing is that,non-humor
5256,"They kidnapped him from my set, right…",non-humor
5257,So the police thought that I had a hand in this kidnapping.,humor
5258,"Now tell me,",non-humor
5259,"My hand is not even in direction, how will it be in kidnapping?",humor
5260,"One minute one minute, Toto.",non-humor
5261,Why are you crying? I should cry.,humor
5262,"So cry, why don't you?",non-humor
5263,Action!,humor
5264,"Oh, Dil...",non-humor
5265,Idiot…,non-humor
5266,Really got kidnapped.,humor
5267,What a shameless man he is!,non-humor
5268,Eight o'clock in the morning and he is still sleeping.,humor
5269,Chirkut… hey Chirkut,non-humor
5270,Hey go man.,humor
5271,Yes. Yes. Yes…,non-humor
5272,Do I have no respect or not?,humor
5273,Chirkut… Chirku.,humor
5274,Hey!,humor
5275,What is it? You did not let me sleep all night long either.,non-humor
5276,"What is it? What is it, what?",non-humor
5277,Chirkut.,non-humor
5278,Where did our two punters go?,non-humor
5279,They have left and gone.,non-humor
5280,Why?,non-humor
5281,"They did not get their salary, right, and so they've left and gone.",non-humor
5282,Oh?,non-humor
5283,I do not know when I will go…,humor
5284,What?,non-humor
5285,Yes.,non-humor
5286,The hotel's bill has become twelve hundred rupees.,humor
5287,How how?,humor
5288,This way. This way. This way. This way.,humor
5289,"Hey Chirkut, his wife will bring the money or not?",non-humor
5290,"Hey boss, why don't you try once?",humor
5291,What?,non-humor
5292,Oh I mean…,non-humor
5293,Call his wife.,humor
5294,Yes.,non-humor
5295,"Now, I'll do it now.",non-humor
5296,Where is my Dil?,humor
5297,Prema ji. Do not cry,non-humor
5298,"I am there, am I not… I am there with you.",humor
5299,But who will make me breakfast in the morning?,non-humor
5300,"I will make it, Prema ji.",non-humor
5301,Who will attend to my calls?,humor
5302,"I will, Prema ji.",non-humor
5303,Who will wash my clothes?,humor
5304,"I will wash the clothes outside, will that do.",humor
5305,Yes. Okay.,non-humor
5306,Hello.,non-humor
5307,This is Black Crow speaking.,humor
5308,Black Crow? From which tree?,humor
5309,Black Crow.,non-humor
5310,"Hello, Mister Black Crow.",humor
5311,"Madam, think again.",non-humor
5312,I have though.,non-humor
5313,"But what were your demands, I have forgotten. Will you tell me again?",humor
5314,Madam how many times do I have to tell you?,non-humor
5315,One crore rupees and that too by today.,humor
5316,"Oh, yeah. One crore… Sorry, I forgot.",humor
5317,One crore?,non-humor
5318,"Bargain with him, bargain with him…",non-humor
5319,Ok…,non-humor
5320,How do we bargain?,humor
5321,"Give me the phone, give me the phone.",non-humor
5322,"Look, Black Crow, you're asking for a bit too much.",humor
5323,What do you mean?,non-humor
5324,Hey that man is not worth one crore.,non-humor
5325,You'll get one lakh of him for one crore.,humor
5326,Tell me the taking price.,non-humor
5327,Tell me how much can you give?,non-humor
5328,We can give one lakh.,humor
5329,But the rickshaw's fare will be on you.,non-humor
5330,I pay the rickshaw fare…,non-humor
5331,Boss we got him in a taxi.,humor
5332,Yes. Hey… Hey listen listen.,non-humor
5333,No no… I will not a penny less than fifty lakhs.,humor
5334,It got cut.,non-humor
5335,"It's done, Prema ji. It's done.",non-humor
5336,I brought it to half. It's done in fifty lakhs.,humor
5337,"But Keshu ji, where will I get fifty lakhs from?",humor
5338,"Do not worry, Prema ji. I am there, am I not?",non-humor
5339,"I am there, I will help you.",humor
5340,"Thank you, Keshu ji.",non-humor
5341,You are very good.,non-humor
5342,Prema ji how much would you have right now?,humor
5343,I have one lakh rupees right now.,humor
5344,Keep that for shopping for small things.,non-humor
5345,I will make some arrangements…,humor
5346,"So go, why don't you?",humor
5347,Where?,non-humor
5348,To make arrangements.,non-humor
5349,Yes… but you don't worry.,humor
5350,"Yes, sir.",non-humor
5351,You don't worry.,non-humor
5352,I am there. Don't worry.,non-humor
5353,Dil...,non-humor
5354,Mummy.,non-humor
5355,Yes.,non-humor
5356,What happened to that Dilbura Uncle?,non-humor
5357,"Nothing, son. Just some goons picked him up and took him.",humor
5358,"Oh, then they must have become sick, right?",humor
5359,"Who, Dilruba Uncle?",humor
5360,"No, the goons.",humor
5361,Quiet. You speak too much.,non-humor
5362,Eat in silence.,non-humor
5363,"Oh god, give me.",non-humor
5364,"What happened, Keshu?",non-humor
5365,Why are you looking to tired?,non-humor
5366,"What do I tell you Koki, even my bad luck is bad.",humor
5367,What?,non-humor
5368,"I mean, my luck is bad.",humor
5369,What has happened?,non-humor
5370,"Koki, do you have a little money?",non-humor
5371,Why?,non-humor
5372,Oh I have to give Prema ji a small loan.,humor
5373,Small meaning how much?,non-humor
5374,Fifty…,humor
5375,"I have fifty, of course. Should I bring it?",humor
5376,"No, fifty lakhs.",humor
5377,Is fifty lakhs a small loan?,non-humor
5378,"Dilruba ji has been kidnapped, I have to get him free.",non-humor
5379,So you took this responsibility?,humor
5380,"Brother, but he is our neighbor, so we have a duty.",humor
5381,Okay then you fulfill your duty.,non-humor
5382,"But after fulfilling your duty, don't forget this.",non-humor
5383,That you will no longer be neighbours.,humor
5384,What do you mean?,non-humor
5385,"I mean we will have to sell the house for fifty lakhs, won't we?",humor
5386,Hello.,non-humor
5387,"Hello, sister.",non-humor
5388,"Sister, who is speaking?",non-humor
5389,This is Black Crow speaking. Black Crow!,non-humor
5390,Who Black Crow?,non-humor
5391,Hey… give me the phone…,humor
5392,Give me the phone.,non-humor
5393,You are friends with the crows?,humor
5394,Shush!,non-humor
5395,"Hello. Speak, Black Crow.",non-humor
5396,who is speaking?,non-humor
5397,Why? Do you not recognize even my heavy voice?,humor
5398,This is Keshav Kulkarni speaking.,non-humor
5399,"Oh, I could not recognize your voice.",humor
5400,I am sorry! Yes.,non-humor
5401,That Prema ji gave me your number and told me to call you.,humor
5402,"Yeah, I only told her. Speak, speak…",non-humor
5403,I am asking for the last time.,humor
5404,You are giving me fifty lakhs,non-humor
5405,Or should I destroy this specimen?,humor
5406,"Look, Black Crow, we do not have fifty lakhs.",non-humor
5407,"If something less will do, then tell me.",humor
5408,No no… this will not get reduced any more.,non-humor
5409,"Yes, then wait for a few days.",humor
5410,How - how many days?,non-humor
5411,"Only, ten to fifteen years.",humor
5412,Ten to fifteen years!,humor
5413,"By then, he will sell me and eatme.",humor
5414,"By then, my height will also increase and you will become old.",humor
5415,"Your beard and all will grown, and you will fall sick",humor
5416,You will go above.,humor
5417,Then what is the meaning of money?,humor
5418,"Hey man, arrange it fast.",humor
5419,do one thing.,non-humor
5420,"Tell me, what.",non-humor
5421,Take a big stone…,non-humor
5422,Yes.,humor
5423,Take a thick rope.,non-humor
5424,Yes.,humor
5425,Tie it around Dilruba's neck.,humor
5426,Okay okay…,humor
5427,And throw him in some river or drain.,humor
5428,"Keshu, you talked about throwing Dilruba ji in the water!",humor
5429,If I did not tell him to throw him in the water,non-humor
5430,Then I would have to drown!,non-humor
5431,"Hello, Fair Mynah here.",humor
5432,What? Give me the phone.,humor
5433,Hello!,non-humor
5434,This is Black Crow working.,non-humor
5435,"Look, look, do not keep the phone.",humor
5436,Hello.,non-humor
5437,"Talk fast, man.",humor
5438,Let's do one thing. Reduce it by ten lakhs.,humor
5439,Give us foty lakhs. Will that do.,humor
5440,"But Black Crow. Forty lakhs does not work with us, brother.",non-humor
5441,Then give us thirty lakhs.,humor
5442,"thiry lakhs! Hey, those goods are not work this much in the market.",humor
5443,"Look, brother. If you want to tell me the amount directly, then tell me.",humor
5444,"Otherwise, do not call me.",non-humor
5445,"Listen listen… look look, do not cut the phone.",humor
5446,Listen to me.,humor
5447,Yes speak fast man.,humor
5448,Do one thing. You come here.,non-humor
5449,Let's sit face to face at a table and talk.,humor
5450,"Okay, where is your office?",humor
5451,"Meaning, where is your lair?",non-humor
5452,Have you ever gone to the National Park?,non-humor
5453,"Yes, I used to go before marriage.",humor
5454,Where?,non-humor
5455,"National Park, man.",humor
5456,"Then tell me, tell me fast…",non-humor
5457,There is a ficus tree there.,non-humor
5458,Next to it is a shed. I'll meet you right there.,non-humor
5459,You come for sure. Don't forget.,humor
5460,I know the National Park. Keep the phone.,humor
5461,Oh dear… he ate everything!,humor
5462,This is breakfast,non-humor
5463,"He has eaten lunch, dinner, everything!",humor
5464,How much will he eat?,humor
5465,"This is my house, this is my stomach!",humor
5466,This is my son!,humor
5467,Where is my pounded paddy?,humor
5468,I ate it.,humor
5469,Gokhale.,non-humor
5470,"Yes, speak, won't you?",humor
5471,The thing is that…,non-humor
5472,What is the matter?,humor
5473,In the stomach...,non-humor
5474,What in the stomach?,humor
5475,Will you let me speak?,humor
5476,"Yeah, speak.",non-humor
5477,I don’t want to speak.,humor
5478,Speak speak speak…,non-humor
5479,"Gokhale, tell me this.",non-humor
5480,Does the bullet of a gun hurt when it enters the stomach?,humor
5481,The bullet of a gun!,non-humor
5482,Yes.,non-humor
5483,Well anyway about this thing,non-humor
5484,I have no personal experience…,humor
5485,Right,non-humor
5486,But my father…,non-humor
5487,Yes…,non-humor
5488,My father remained alive for several days even after a bullet went into his stomach.,non-humor
5489,Something similar happened to him.,humor
5490,Is that so? How? ,non-humor
5491,He swallowed the bullet like this.,humor
5492,You are a fool!,non-humor
5493,I'm not talking about swallowing the bullet.,humor
5494,"By the way, I can swallow ten ten bullets in one go.",humor
5495,I… gun bullets…,non-humor
5496,I am talking about getting shot in the stomach.,humor
5497,Why? what's the matter?,non-humor
5498,I am going to meet a dangerous goon.,humor
5499,"Meet who, meet who…",non-humor
5500,Black Crow. The Black Crow!,non-humor
5501,Why? What what reason?,non-humor
5502,Oh he has kidnapped Dilruba ji.,humor
5503,You will save Dilruba?!,non-humor
5504,I don't want to save him either.,non-humor
5505,"But Prema ji has asked me, so I will have to go and rescue him.",humor
5506,It is my duty.,non-humor
5507,You have a point.,non-humor
5508,But you will go there alone?,humor
5509,Will you come? Come please.,non-humor
5510,"Oh I have to, I…",non-humor
5511,Come on…,humor
5512,I have a lot of work.,non-humor
5513,"Come please, man.",humor
5514,I am very busy.,humor
5515,I will feed you jalebis.,humor
5516,Let's go let's go…,humor
5517,Black Crow!,humor
5518,Black Crow!,humor
5519,We are coming.,humor
5520,Yes!,non-humor
5521,Hey why are you pushing me?,humor
5522,Sorry sorry…,non-humor
5523,"Gokhale, this is the address, right?",non-humor
5524,It seems that this is the one.,humor
5525,This is it this is it…,humor
5526,Let's go let's go let's go…,non-humor
5527,"You go, go inside, my lion, go!",humor
5528,Should I go alone?,humor
5529,"We had settled that we would both go in together, Gokhale.",non-humor
5530,"We did settle it, Kulkarni.",non-humor
5531,But there is a slight change in the story now.,humor
5532,Slight change in the story?,non-humor
5533,"Gokhale, your story changes a lot.",humor
5534,"Okay, I am going.",non-humor
5535,"Gokhale, if something happens to me",non-humor
5536,Then tell Koki that my insurance policy is in the safe on top of the cupboard in the bedroom.,humor
5537,"There are two premiums left. You fill them, okay?",humor
5538,"Otherwise, it will get lapsed, brother.",humor
5539,"You go, man!",humor
5540,I am going…,non-humor
5541,"God, save me god!",humor
5542,Hey listen! You'll go like this?,humor
5543,Then?,non-humor
5544,Those people will shoot you.,non-humor
5545,Daring! My brother my brother my brother…,non-humor
5546,"Oh, yes... Speak like this.",humor
5547,Come on you guys…,non-humor
5548,You see my brother's daring act!,humor
5549,"Brother, brother Keshu…",non-humor
5550,Speak like this!,humor
5551,Ok?,humor
5552,"Absolutely great, brother!",humor
5553,"Call him up, man.",non-humor
5554,Hey how many times do I have to call?,humor
5555,"Get the money, man!",non-humor
5556,Hey will you let me speak!,humor
5557,Speak.,non-humor
5558,"Hello, Black Crow…",non-humor
5559,"Keshu ji, thank god you have come.",non-humor
5560,You are indeed so brave.,non-humor
5561,"One minute. This is Koki ji's husband, Keku ji.",humor
5562,"And Keku ji, this is the famous villain of hereabouts",non-humor
5563,Black Crow.,non-humor
5564,"Hello, Black Crow.",non-humor
5565,"Hello Keku, have you brought the goods?",non-humor
5566,"What goods, I haven't even brought a handkerchief to wipe my sweat.",humor
5567,Start the business talks.,non-humor
5568,You start!,non-humor
5569,Okay. Then go bring thirty lakh rupees.,non-humor
5570,Thirty lakhs?,humor
5571,Yes yes. I'm giving you the discounted rate.,humor
5572,Discount?,humor
5573,Come one who will give thiry lakhs for him. Come on,humor
5574,What is even in him?,humor
5575,He is hollow. Hollow.,humor
5576,Can you see? Can you see?,humor
5577,"He is not a problem, he is a stock of problems. He…",humor
5578,Okay okay…,non-humor
5579,You tell me how much you want to give?,non-humor
5580,I have change for hundred bucks. Two notes of fifty.,humor
5581,Two notes of fifty?,non-humor
5582,"hey, we spent a thousand rupees on his eating.",humor
5583,"We would also give tea coffee on time, you know.",non-humor
5584,On top of that he was demanding mang lassi.,humor
5585,Fine! Fine. Fine. I will handle this. I will handle this. Ok.,non-humor
5586,"Hey, Chirkut. Shut up.",humor
5587,"I will give a thousand rupees. Make it full and final, that  too by check.",non-humor
5588,"If that is fine, then tell me. Otherwise shoot him. Come on.",humor
5589,"Keku ji, have you come here to free me or to get me killed?",non-humor
5590,Shut up shut up shut up…,non-humor
5591,"Do you know how much Prema ji has been upset, because of you?",humor
5592,Tell me what you have decided?,non-humor
5593,Ok.,non-humor
5594,I will give you the final offer.,non-humor
5595,Tell me.,non-humor
5596,Five lakh rupees! or else…,non-humor
5597,"Boss, that is a finger.",humor
5598,The real gun is here. Take it,humor
5599,"Keku ji, this is a real gun and it has a real bullet in it, yes.",humor
5600,Okay okay okay,humor
5601,I will come in ten minutes.,non-humor
5602,"If you don't come in ten minutes, then just hear the sound of the bullet from outside.",humor
5603,Keku ji why are you being oversmart like this?,non-humor
5604,If I die then what will happen of me?,non-humor
5605,You'll have a funeral.,humor
5606,Ten minutes,non-humor
5607,Gokhale Gokhale Gokhale… what did I do,humor
5608,How did so much power come from me… Gokhale,non-humor
5609,I know I know… those people have demanded five lakh rupees from you. Right?,non-humor
5610,But where will you get five lakh rupees in ten minutes from?,non-humor
5611,"Do not take tension, my friend.",non-humor
5612,Take this. Go taking this and tell them. There are five lakh rupees in it.,humor
5613,There are five lakh rupees in this?,humor
5614,"Hey you go, man…",humor
5615,"I am going, man…",non-humor
5616,"Hey listen, will you go back like this?",non-humor
5617,Round figure?,non-humor
5618,Full five lakhs. Count them?,humor
5619,Who are you?,non-humor
5620,Gokh…,non-humor
5621,I'm White Heron.,humor
5622,Police have kept a bounty of fifty lakhs on my head. Understand?,humor
5623,More than the bounty on me.,humor
5624,"Hey, he is your senior. Salute him.",non-humor
5625,Do not move! There is a bomb in it.,humor
5626,It will explode on moving.,non-humor
5627,"If it shakes, it explodes.",humor
5628,Come come. Don't move! Don't move!,non-humor
5629,Do not move.,humor
5630,"Dilruba ji, yes! Won't you take your fifty percent as you go?",non-humor
5631,"No no you keep that, you keep that.",humor
5632,"Bye, I'll tell you about the serial next time…",non-humor
5633,Look at Suchita Chopra.,humor
5634,"We are saved Kulkarni, we are saved...",non-humor
5635,"Why, Kulkarni, why are we saved? Are you mad?",humor
5636,Where did the idea of the bomb come from?,non-humor
5637,"And forget that, where did the bomb come from? What if it exploded?",non-humor
5638,"What man, how would a bomb come to me?",humor
5639,"There was a coconut in it, a coconut.",non-humor
5640,Wow!,non-humor
5641,"Tell me, you will make a joke of me",non-humor
5642,You will ridicule me?,humor
5643,I will beat you up…,humor
5644,Papa papa…,non-humor
5645,What is this you're doing….,non-humor
5646,Hey you keep quiet.,humor
5647,You will make fun of me? You will make fun of me?,humor
5648,Mummy,non-humor
5649,"Look, Papa is scolding my parrot.",humor
5650,"Keshu! Keshu, what are you doing?",non-humor
5651,Now you have an enmity with a fake parrot also?,non-humor
5652,I have an enmity with parrots since my childhood.,humor
5653,O Lord oh man! Why?,non-humor
5654,"Koki, you do not know.",non-humor
5655,"In my childhood, when I was little…",humor
5656,What?,humor
5657,"Hey I mean, when I was little.",non-humor
5658,Then there was a parrot just like this in my neighborhood.,non-humor
5659,Who would call me a mutton-head again and again.,humor
5660,Yeah but what has this parrot done to wrong you?,non-humor
5661,This is only a toy.,non-humor
5662,"Yeah but it speaks, doesn't it?",non-humor
5663,"And whenever it speaks, it calls me stupid.",non-humor
5664,"""Hey stupid!""",humor
5665,See see it called me stupid again? It said it again.,non-humor
5666,Keshu…,non-humor
5667,"I am sure that rascal Dilruba, before he gave this Chintu this parrot",non-humor
5668,Placed a chip inside it,non-humor
5669,Whose recording I can neither delete nor can I shut this parrot up!,humor
